Date,Not indexed,Indexed,Impressions
2026-05-14,,,389
2026-05-15,2367,178,367
2026-05-16,2043,186,366
2026-05-17,2043,186,385
2026-05-18,2043,186,519
2026-05-19,1779,186,334
2026-05-20,1779,186,457
2026-05-21,1779,186,340
2026-05-22,1779,186,287
2026-05-23,1700,191,290
2026-05-24,1700,191,456
2026-05-25,1700,191,586
2026-05-26,1675,185,431
2026-05-27,1675,185,553
2026-05-28,1675,185,583
2026-05-29,1675,185,583
2026-05-30,1687,163,658
2026-05-31,1687,163,642
2026-06-01,1687,163,799
2026-06-02,1587,147,547
2026-06-03,1587,147,578
2026-06-04,1587,147,637
2026-06-05,1587,147,481
2026-06-06,1525,160,439
2026-06-07,1525,160,535
2026-06-08,1525,160,1047
2026-06-09,1484,174,584
2026-06-10,1484,174,515
2026-06-11,1484,174,639
2026-06-12,1484,174,501
2026-06-13,1440,322,575
2026-06-14,1440,322,625
2026-06-15,1440,322,905
2026-06-16,1440,322,760
2026-06-17,1440,322,829
2026-06-18,1440,322,1039
2026-06-19,1440,322,1155
2026-06-20,1440,322,1481
2026-06-21,1440,322,1894
2026-06-22,1440,322,2154
2026-06-23,1440,322,1745
2026-06-24,1440,322,2387
2026-06-25,1440,322,2348
2026-06-26,1440,322,2366
2026-06-27,1440,322,2319
2026-06-28,1440,322,1553
2026-06-29,1440,322,1729
2026-06-30,1440,322,2056
2026-07-01,1220,371,1790
2026-07-02,1220,371,2488
2026-07-03,1220,371,1264
2026-07-04,1220,371,1240
2026-07-05,1220,371,1632
2026-07-06,1220,371,1823
2026-07-07,1220,371,1699
2026-07-08,1220,371,1794
2026-07-09,1220,371,2134
2026-07-10,1220,371,2902
2026-07-11,1165,378,1447
2026-07-12,1165,378,1460
2026-07-13,1165,378,1906
2026-07-14,1165,378,1464
2026-07-15,1165,378,1392
2026-07-16,1165,378,1173
2026-07-17,1165,378,1106
2026-07-18,1165,378,989
2026-07-19,1165,378,1146
2026-07-20,1165,378,1181
2026-07-21,1165,378,1348
2026-07-22,1165,378,1386
2026-07-23,1165,378,1352
2026-07-24,1165,378,1570
2026-07-25,1177,380,1125
2026-07-26,1177,380,1199
2026-07-27,1177,380,1658
2026-07-28,1177,380,1393
2026-07-29,1177,380,1858
2026-07-30,1177,380,1788
2026-07-31,1177,380,1552
2026-08-01,1177,380,1592
2026-08-02,1177,380,1636
2026-08-03,1177,380,1740
2026-08-04,1177,380,1414
2026-08-05,1177,380,2205
2026-08-06,1179,384,1983
2026-08-07,1179,384,1388
